loan_id,customer_id,loan_type,sanction_amount,disbursed_amount,interest_rate,tenure_months,disbursement_date,sector,branch_id,region
L000058,C004839,Agri,3500059,3450612.09,10.75,24,2023-02-03,Agriculture,B009,North
L000059,C013157,Auto,1804409,1676911.09,9.03,60,2022-02-28,Services,B007,East
L000060,C008570,Auto,1260343,1162309.0,9.5,36,2026-06-25,Services,B007,East
L000061,C000958,Home,14751354,14192337.18,9.85,360,2023-05-07,Real Estate,B010,North
L000062,C008512,Home,5499929,5062885.51,10.34,240,2023-08-17,Real Estate,B001,West
L000063,C015100,Personal,859484,792712.05,11.98,60,2024-07-30,Services,B001,West
L000064,C007977,Home,5251777,5197652.2,8.96,360,2021-11-01,Real Estate,B006,West
L000065,C018555,Auto,1870382,1721720.01,11.75,36,2024-11-10,Services,B009,North
L000066,C006585,Home,9530469,8956398.94,9.86,180,2025-07-21,Real Estate,B003,North
L000067,C007973,Auto,870863,869376.14,9.77,60,2021-08-23,Services,B006,West
L000068,C012442,Home,3951090,3635559.25,10.38,180,2024-05-06,Real Estate,B001,West
L000069,C005808,Home,8931868,8421520.69,9.64,360,2021-11-12,Real Estate,B004,South
L000070,C010813,Home,19708711,18083298.21,9.99,360,2023-09-20,Real Estate,B001,West
L000071,C000246,Personal,793579,755429.79,16.18,12,2023-04-08,Services,B010,North
L000072,C005008,Home,17765127,16047529.12,8.09,120,2024-07-16,Real Estate,B006,West
L000073,C007373,Personal,183605,171990.97,17.45,36,2025-04-19,Services,B004,South
L000074,C004381,Home,15746629,14657005.9,9.08,120,2025-01-02,Real Estate,B002,West
L000075,C011141,Auto,1768231,1597876.15,9.22,84,2026-05-19,Services,B010,North
L000076,C017534,Personal,974870,917274.1,15.62,12,2024-10-12,Services,B002,West
L000077,C017826,Auto,2058179,2051167.38,9.8,36,2025-10-05,Services,B003,North
L000078,C014349,Home,7980924,7632424.67,8.97,240,2024-12-25,Real Estate,B006,West
L000079,C016688,Home,2177169,2065187.61,9.61,180,2022-04-23,Real Estate,B004,South
L000080,C009200,Auto,2774640,2611983.06,11.43,60,2022-06-07,Services,B006,West
L000081,C012374,Home,14209248,13937054.81,10.4,120,2022-09-16,Real Estate,B006,West
L000082,C007382,Personal,561158,526797.66,15.88,24,2023-03-09,Services,B008,South
L000083,C017006,Auto,1132921,1051314.14,10.82,36,2023-04-02,Services,B005,South
L000084,C005746,Home,14463088,14209513.17,8.98,240,2025-04-06,Real Estate,B010,North
L000085,C010280,Personal,666191,605898.18,14.37,12,2024-09-24,Services,B006,West
L000086,C009551,Home,15717835,15483613.22,8.19,240,2022-08-15,Real Estate,B002,West
L000087,C016030,Personal,424649,395372.49,14.23,12,2026-05-07,Services,B007,East
L000088,C007660,MSME,26879116,24318008.85,12.22,120,2025-03-04,Services,B004,South
L000089,C015166,Home,3460325,3188156.36,9.37,240,2021-08-16,Real Estate,B002,West
L000090,C017370,MSME,26813301,24796365.63,12.54,36,2022-05-14,Manufacturing,B009,North
L000091,C000880,Personal,452271,410799.73,15.58,36,2024-05-16,Services,B006,West
L000092,C017698,Auto,2711101,2681475.96,9.45,48,2026-01-23,Services,B002,West
L000093,C003478,Agri,3036777,2752374.47,10.36,12,2026-04-18,Agriculture,B009,North
L000094,C001260,Education,1126674,1100450.36,9.03,60,2026-03-08,Services,B006,West
L000095,C006872,Home,3518320,3224214.21,8.82,240,2022-12-28,Real Estate,B004,South
L000096,C016443,MSME,38518280,37352378.83,12.63,84,2021-11-07,Retail Trade,B007,East
L000097,C003237,Home,18706447,18077856.92,8.42,240,2026-01-29,Real Estate,B005,South
L000098,C016830,Home,10453771,9794181.22,9.05,180,2024-02-27,Real Estate,B008,South
L000099,C000356,Agri,3020496,2993962.39,10.03,36,2026-05-01,Agriculture,B003,North
L000100,C009656,Home,13491409,12966311.33,10.33,360,2025-08-23,Real Estate,B008,South
L000101,C005418,Personal,292284,281614.47,14.75,36,2024-07-19,Services,B005,South
L000102,C006996,Agri,4658312,4239794.15,10.85,36,2026-06-30,Agriculture,B007,East
L000103,C012559,Home,2573094,2471303.11,8.81,240,2025-02-26,Real Estate,B010,North
L000104,C017191,Auto,1775083,1638356.42,10.89,60,2024-03-14,Services,B010,North
L000105,C008464,Auto,2293566,2186154.42,9.44,48,2025-10-24,Services,B003,North
L000106,C012625,Education,2120268,1923217.23,10.34,120,2021-11-05,Services,B002,West
L000107,C006064,Home,10699322,10220442.87,8.47,180,2022-04-18,Real Estate,B004,South
L000108,C016130,Personal,818665,766385.08,17.62,24,2025-05-01,Services,B003,North
L000109,C002108,Home,9750044,9191560.68,10.35,240,2023-12-06,Real Estate,B007,East
L000110,C014465,MSME,17426183,15716073.54,9.62,36,2025-07-14,Services,B002,West
L000111,C001184,Home,5326698,5267123.48,10.15,120,2021-10-15,Real Estate,B004,South
L000112,C019084,Home,9128146,8377407.89,10.22,360,2023-03-20,Real Estate,B005,South
L000113,C012928,Agri,3863872,3766388.11,9.01,24,2023-02-07,Agriculture,B009,North
L000114,C006736,Personal,61511,56150.63,16.18,12,2025-04-12,Services,B002,West
L000115,C011727,Personal,91870,85564.45,11.85,36,2023-08-21,Services,B004,South
L000116,C014544,Education,3601592,3542003.05,9.44,120,2026-04-13,Services,B003,North
L000117,C009732,Agri,185368,175941.14,9.51,24,2022-02-07,Agriculture,B010,North
L000118,C012762,Home,3741368,3444996.06,8.51,120,2024-03-13,Real Estate,B002,West
L000119,C016251,Education,4993510,4907446.1,10.6,120,2024-01-19,Services,B008,South
L000120,C018232,Personal,524920,476716.39,13.2,12,2023-03-02,Services,B008,South
L000121,C019518,Auto,1944006,1780352.5,10.1,84,2022-03-25,Services,B006,West
L000122,C017570,Home,4309364,3907249.58,9.33,360,2025-03-14,Real Estate,B003,North
L000123,C007329,Personal,259033,246569.28,15.74,48,2024-09-27,Services,B004,South
L000124,C015787,Home,10700875,9990495.25,9.94,360,2024-01-19,Real Estate,B003,North
L000125,C014586,Agri,2971892,2752794.3,8.21,36,2022-12-09,Agriculture,B004,South
L000126,C017801,Home,10398287,10102911.05,9.09,180,2022-01-26,Real Estate,B007,East
L000127,C016316,Personal,216064,215753.39,15.33,24,2025-05-09,Services,B010,North
L000128,C003787,Home,13383118,12163537.53,9.67,360,2024-11-07,Real Estate,B007,East
L000129,C002750,Home,10337522,9683118.64,10.45,120,2025-10-03,Real Estate,B002,West
L000130,C002728,Home,16393741,15363959.42,9.09,120,2023-06-04,Real Estate,B001,West
L000131,C016570,Home,18222814,17181449.23,10.1,120,2026-01-19,Real Estate,B003,North
L000132,C017104,Personal,656354,601280.14,15.7,36,2023-11-04,Services,B009,North
L000133,C014228,Home,6782173,6162248.2,10.26,240,2024-01-13,Real Estate,B003,North
L000134,C013124,Home,13929670,13595394.31,8.49,180,2023-08-25,Real Estate,B010,North
L000135,C007278,Home,6389660,6057736.39,8.81,120,2023-02-08,Real Estate,B006,West
L000136,C005487,Home,7093832,6691175.15,8.95,180,2023-06-15,Real Estate,B002,West
L000137,C014420,MSME,19817212,18625862.36,10.71,36,2022-10-24,IT/ITES,B009,North
L000138,C017029,Home,18521449,17379015.96,10.04,180,2025-06-14,Real Estate,B010,North
L000139,C012396,Personal,665541,616019.73,11.52,60,2022-06-27,Services,B009,North
L000140,C008992,Personal,433905,429084.28,13.98,24,2023-02-04,Services,B007,East
L000141,C006454,Auto,1851280,1841489.83,11.07,60,2025-07-24,Services,B008,South
L000142,C013993,Personal,785445,757536.41,16.48,24,2024-06-04,Services,B002,West
L000143,C011922,Personal,913954,853457.8,16.03,24,2023-02-16,Services,B004,South
L000144,C007978,Personal,525308,517081.02,12.26,36,2025-10-24,Services,B005,South
L000145,C019271,Personal,852790,817553.01,11.84,48,2025-02-25,Services,B006,West
L000146,C010878,Home,19022878,18559094.82,8.19,180,2021-11-18,Real Estate,B002,West
L000147,C016469,Auto,895682,836721.66,11.96,60,2022-12-27,Services,B009,North
L000148,C016837,Personal,734539,701683.49,14.98,24,2022-07-21,Services,B003,North
L000149,C014162,Personal,426626,385566.56,11.35,24,2023-05-28,Services,B001,West
L000150,C017879,MSME,32721494,30114636.12,13.29,24,2025-04-18,Retail Trade,B005,South
L000151,C013182,Auto,1927596,1867671.19,11.11,84,2021-12-20,Services,B005,South
L000152,C003010,Auto,2993576,2801749.59,9.33,84,2026-07-27,Services,B004,South
L000153,C002397,MSME,40063889,38480567.11,9.66,36,2025-02-18,Retail Trade,B003,North
L000154,C009231,Agri,2693014,2434338.21,9.81,36,2025-10-17,Agriculture,B004,South
L000155,C012300,Personal,161141,152398.95,17.06,60,2021-10-28,Services,B004,South
L000156,C012670,Auto,1092521,1048886.31,9.98,84,2024-10-10,Services,B003,North
L000157,C000357,Home,17894738,16363936.63,8.81,240,2025-02-11,Real Estate,B004,South
L000158,C007464,Auto,2607106,2605606.77,11.4,84,2022-05-02,Services,B003,North
L000159,C002268,Home,6299052,6073611.69,9.16,240,2024-12-23,Real Estate,B007,East
L000160,C011410,Personal,410063,370834.74,15.97,24,2026-06-09,Services,B008,South
L000161,C005127,Auto,2068309,2019625.5,11.06,60,2026-02-12,Services,B006,West
L000162,C013123,MSME,40732943,40257358.82,12.91,84,2023-09-07,IT/ITES,B007,East
L000163,C012811,Auto,1436301,1293131.25,9.53,48,2025-12-15,Services,B003,North
L000164,C000160,Personal,850165,776055.46,12.94,36,2024-08-31,Services,B002,West
L000165,C013424,MSME,49298715,48062286.29,11.31,24,2023-09-03,IT/ITES,B002,West
L000166,C011397,Home,10321907,10176739.47,9.76,180,2022-03-31,Real Estate,B010,North
L000167,C014367,Home,1581337,1555780.49,8.0,360,2022-09-20,Real Estate,B002,West
L000168,C015573,Personal,574164,550909.37,12.21,12,2022-12-18,Services,B009,North
L000169,C018814,Auto,2777175,2697221.85,11.11,84,2025-02-28,Services,B004,South
L000170,C005695,Personal,374055,342670.2,16.95,12,2025-04-21,Services,B009,North
L000171,C007252,Personal,301999,300347.99,12.95,60,2026-01-09,Services,B004,South
L000172,C015382,Auto,580323,546794.29,11.25,84,2025-07-06,Services,B010,North
L000173,C002955,Personal,195613,193773.25,12.65,48,2026-07-11,Services,B008,South
L000174,C007760,MSME,48848349,47560679.01,9.55,36,2021-11-24,Manufacturing,B004,South
L000175,C010946,Agri,3213663,3168949.08,10.49,12,2023-01-31,Agriculture,B004,South
L000176,C010359,MSME,22684978,22630545.17,12.11,84,2024-12-16,IT/ITES,B001,West
L000177,C018524,MSME,37495777,36262728.93,13.83,120,2021-10-14,Retail Trade,B003,North
L000178,C007342,Home,9861804,8998474.05,10.03,120,2024-08-16,Real Estate,B010,North
L000179,C016014,Auto,1773902,1639083.67,9.63,48,2026-04-22,Services,B004,South
L000180,C008320,Education,2599559,2366287.3,10.55,84,2023-05-18,Services,B001,West
L000181,C002148,Home,14429353,13004078.74,8.3,240,2025-03-20,Real Estate,B007,East
L000182,C004523,Personal,881558,830133.42,12.09,12,2026-03-17,Services,B009,North
L000183,C014389,Home,16399757,15107268.84,8.9,180,2023-06-26,Real Estate,B005,South
L000184,C009726,Education,4462133,4341079.34,11.31,84,2023-01-25,Services,B006,West
L000185,C003971,Personal,252338,239976.61,14.18,24,2024-08-21,Services,B004,South
L000186,C002956,Agri,2695216,2616956.71,8.82,12,2024-11-09,Agriculture,B003,North
L000187,C006892,Home,4301397,4259229.18,10.15,120,2026-05-29,Real Estate,B004,South
L000188,C018599,Home,18344597,17000214.63,9.82,360,2026-02-24,Real Estate,B009,North
L000189,C002911,Personal,255147,232098.79,13.12,12,2025-01-12,Services,B003,North
L000190,C013128,Home,3677288,3371580.62,9.08,120,2025-10-23,Real Estate,B005,South
L000191,C019829,Home,17053745,15803269.96,9.16,240,2022-09-07,Real Estate,B001,West
L000192,C013273,Personal,194971,182926.24,12.86,36,2024-12-21,Services,B001,West
L000193,C018828,Agri,2121633,2087588.25,9.53,24,2024-04-06,Agriculture,B006,West
L000194,C016598,MSME,8343268,7754568.26,11.32,36,2025-04-29,Services,B008,South
L000195,C001809,Personal,431347,408819.97,15.62,12,2023-12-20,Services,B001,West
L000196,C007803,Home,17821413,17607745.16,9.21,240,2026-07-04,Real Estate,B008,South
L000197,C019922,Agri,4620922,4427975.17,10.45,12,2022-06-05,Agriculture,B006,West
L000198,C003134,Home,15300396,14631659.84,8.25,240,2022-06-11,Real Estate,B007,East
L000199,C000746,Home,11772363,10830883.07,9.6,120,2024-02-12,Real Estate,B009,North
L000200,C011669,Personal,868838,812162.32,14.97,48,2023-09-19,Services,B003,North
L000201,C004828,Agri,1515577,1496167.75,9.68,36,2021-08-19,Agriculture,B008,South
L000202,C014109,Agri,861051,818407.57,10.47,12,2022-10-29,Agriculture,B007,East
L000203,C000411,Home,9361148,8902212.86,9.29,120,2023-02-11,Real Estate,B008,South
L000204,C019554,Personal,980184,964755.8,14.21,60,2023-12-11,Services,B005,South
L000205,C005170,Personal,595391,567920.97,13.56,60,2021-12-05,Services,B006,West
L000206,C005156,Home,9564033,9093953.53,9.26,180,2023-07-05,Real Estate,B001,West
L000207,C019366,Personal,360675,346622.12,17.94,36,2023-01-21,Services,B010,North
L000208,C003979,Auto,1242136,1241398.43,11.69,60,2021-11-22,Services,B002,West
L000209,C009616,Agri,4546057,4356934.42,8.24,24,2026-01-18,Agriculture,B007,East
L000210,C016298,Personal,539299,516881.94,11.82,48,2021-10-31,Services,B005,South
L000211,C014727,Home,4171837,3938938.06,9.58,240,2021-10-04,Real Estate,B006,West
L000212,C014018,Home,19434263,17879894.99,9.33,240,2021-11-01,Real Estate,B008,South
L000213,C013075,Agri,4550004,4396137.15,7.28,36,2026-02-25,Agriculture,B007,East
L000214,C009615,Personal,422286,416353.79,16.39,60,2022-04-11,Services,B002,West
L000215,C005558,Home,17063790,16461540.06,8.84,360,2025-03-26,Real Estate,B001,West
L000216,C013038,Auto,908655,841989.84,10.66,48,2025-05-16,Services,B001,West
L000217,C004340,Home,6346887,5951622.4,8.99,360,2025-02-22,Real Estate,B010,North
L000218,C011197,Home,3691527,3437545.59,8.51,120,2023-02-28,Real Estate,B010,North
L000219,C008455,Agri,1271305,1177217.28,9.03,36,2025-01-28,Agriculture,B005,South
L000220,C008892,Home,11696560,11311886.66,8.98,360,2024-09-29,Real Estate,B008,South
L000221,C003434,Home,16141710,15090932.95,9.67,180,2022-01-29,Real Estate,B010,North
L000222,C000253,Home,1782043,1664027.04,9.7,240,2022-06-30,Real Estate,B007,East
L000223,C013616,Home,7330884,6696356.1,8.66,240,2021-09-24,Real Estate,B001,West
L000224,C014884,Auto,2737974,2479182.22,9.32,36,2022-08-30,Services,B002,West
L000225,C001071,Home,13026677,11899972.18,8.19,240,2021-12-29,Real Estate,B002,West
L000226,C017935,Personal,273456,268903.91,17.29,24,2021-12-27,Services,B005,South
L000227,C016257,Personal,554600,511725.56,17.15,60,2022-06-27,Services,B005,South
L000228,C007818,Home,5595137,5155176.5,9.21,120,2025-02-05,Real Estate,B010,North
L000229,C017430,Home,8782206,8712240.53,8.42,120,2022-04-30,Real Estate,B008,South
L000230,C005645,MSME,40039040,36135758.37,13.62,24,2025-07-02,Retail Trade,B009,North
L000231,C002968,Personal,785216,755628.41,17.62,24,2024-06-27,Services,B010,North
L000232,C008270,Home,14585203,14495011.08,10.04,240,2023-04-01,Real Estate,B009,North
L000233,C009386,Home,3263020,3004794.19,8.18,240,2026-04-28,Real Estate,B006,West
L000234,C018779,Auto,1080006,1071884.98,11.67,48,2022-08-24,Services,B003,North
L000235,C011337,Personal,369521,364415.18,13.55,12,2022-04-01,Services,B002,West
L000236,C005692,Personal,813351,809387.24,16.98,12,2026-06-25,Services,B009,North
L000237,C019846,Home,13302784,13139172.42,8.75,120,2022-03-03,Real Estate,B005,South
L000238,C011125,Personal,954460,866318.46,11.9,60,2025-11-21,Services,B005,South
L000239,C007372,Auto,2913836,2862814.33,11.84,36,2023-08-24,Services,B009,North
L000240,C012653,Home,4339363,4027170.61,8.39,240,2025-01-21,Real Estate,B009,North
L000241,C018903,Auto,301390,288180.35,10.19,48,2026-05-09,Services,B010,North
L000242,C013707,Personal,495926,461771.17,17.43,12,2021-10-19,Services,B007,East
L000243,C001137,Personal,972788,902197.48,17.96,48,2024-05-19,Services,B010,North
L000244,C001765,Home,12263716,11849041.23,9.67,180,2023-03-17,Real Estate,B009,North
L000245,C018810,Agri,4899072,4690625.77,8.06,36,2023-08-21,Agriculture,B006,West
L000246,C007586,Home,1623560,1495626.83,9.91,240,2025-05-14,Real Estate,B010,North
L000247,C010559,Auto,2320679,2224719.11,11.53,60,2025-05-18,Services,B002,West
L000248,C004059,Personal,562915,531152.79,12.72,36,2025-10-14,Services,B002,West
L000249,C006009,Home,4779508,4735184.53,9.19,240,2025-05-02,Real Estate,B004,South
L000250,C003433,Personal,496426,448966.47,15.42,48,2021-08-04,Services,B003,North
L000251,C005426,Personal,735788,675399.59,13.98,48,2022-05-03,Services,B003,North
L000252,C010925,Personal,275556,253711.33,15.49,24,2024-04-24,Services,B004,South
L000253,C019784,Personal,646245,638429.86,12.8,48,2025-07-20,Services,B006,West
L000254,C013603,Agri,2432248,2268479.59,7.98,12,2021-12-01,Agriculture,B001,West
L000255,C018410,Auto,2808327,2719234.08,10.31,60,2025-09-28,Services,B005,South
L000256,C005693,Home,5783795,5452795.57,9.33,240,2025-02-23,Real Estate,B010,North
L000257,C003320,Auto,2341561,2168693.52,11.69,36,2024-10-02,Services,B010,North
L000258,C017422,MSME,18150353,16724714.25,13.51,36,2021-09-19,Retail Trade,B005,South
L000259,C006047,Auto,1133663,1060004.13,10.35,60,2023-05-15,Services,B002,West
L000260,C005646,Auto,1556022,1468930.21,11.04,36,2022-05-07,Services,B003,North
L000261,C002729,Home,10464212,10389108.12,10.07,240,2023-06-15,Real Estate,B002,West
L000262,C017999,Agri,4854127,4670993.01,9.69,24,2022-01-09,Agriculture,B006,West
L000263,C006195,Auto,2070093,2025214.94,10.12,48,2025-11-02,Services,B010,North
L000264,C007543,Agri,187601,168996.74,10.25,36,2023-06-03,Agriculture,B001,West
L000265,C017441,Agri,854618,779889.04,8.11,12,2025-07-17,Agriculture,B001,West
L000266,C019669,Personal,773441,728918.15,17.15,60,2025-03-05,Services,B008,South
L000267,C008980,Home,12792904,12171512.98,8.98,360,2023-11-22,Real Estate,B009,North
L000268,C009272,Personal,797974,774683.14,14.39,48,2026-03-17,Services,B009,North
L000269,C007555,Auto,2680538,2621975.67,11.03,48,2023-10-21,Services,B006,West
L000270,C002486,Personal,771423,738265.49,17.93,60,2026-01-05,Services,B006,West
L000271,C003047,Auto,2707133,2648526.76,11.46,60,2024-10-19,Services,B004,South
L000272,C005040,Personal,505041,467400.59,12.45,12,2021-11-23,Services,B003,North
L000273,C015849,Home,4086848,4011370.55,8.74,120,2021-10-31,Real Estate,B009,North
L000274,C007082,MSME,23369349,23001983.05,10.6,60,2026-02-28,Services,B003,North
L000275,C016557,Auto,2879951,2597262.24,11.95,60,2022-04-04,Services,B005,South
L000276,C004231,Education,4917408,4762934.42,12.08,84,2024-03-07,Services,B006,West
L000277,C008515,Education,3916614,3819554.88,12.01,120,2023-12-07,Services,B006,West
L000278,C019590,MSME,37626655,34532229.45,10.2,84,2023-01-09,Manufacturing,B002,West
L000279,C001893,Home,11671204,10855687.39,8.71,180,2023-09-25,Real Estate,B010,North
L000280,C015602,Home,8242268,7775548.69,8.91,180,2026-04-12,Real Estate,B003,North
L000281,C006323,Auto,2353334,2315057.97,11.95,36,2021-09-06,Services,B006,West
L000282,C003989,Personal,157908,151202.12,17.93,48,2026-04-26,Services,B010,North
L000283,C008446,Home,15924586,15873915.8,10.18,240,2024-08-30,Real Estate,B010,North
L000284,C014485,Auto,1490810,1346452.24,9.47,36,2025-02-10,Services,B003,North
L000285,C019957,Home,14760478,14385506.24,8.37,360,2022-11-01,Real Estate,B006,West
L000286,C007705,Home,10841978,10334038.95,8.69,360,2024-09-10,Real Estate,B008,South
L000287,C014680,Auto,1878990,1800137.95,10.05,48,2023-03-05,Services,B010,North
L000288,C008622,MSME,20143594,18319630.3,12.52,120,2023-06-24,Manufacturing,B006,West
L000289,C009196,Home,3797450,3781940.42,9.62,240,2023-04-02,Real Estate,B007,East
L000290,C009432,Home,10719343,10306776.6,9.82,240,2025-12-16,Real Estate,B002,West
L000291,C003287,Auto,558180,505983.05,10.44,36,2026-06-03,Services,B002,West
L000292,C007155,MSME,43259909,39054001.54,10.37,120,2025-04-12,Retail Trade,B001,West
L000293,C009722,Auto,2011997,1986234.03,10.18,60,2026-05-14,Services,B001,West
L000294,C003686,Home,2409561,2388280.93,9.27,240,2025-09-23,Real Estate,B008,South
L000295,C008254,Home,5209215,4914420.12,8.72,180,2025-03-29,Real Estate,B005,South
L000296,C009395,Personal,826371,777991.73,17.69,36,2023-07-01,Services,B008,South
L000297,C015299,Personal,945768,928814.59,12.7,36,2026-07-16,Services,B003,North
L000298,C011838,Home,15748491,14288236.62,10.25,120,2025-11-27,Real Estate,B007,East
L000299,C002734,Home,10847699,10432010.94,8.88,360,2024-01-02,Real Estate,B008,South
L000300,C019769,Personal,327929,311789.18,16.43,24,2025-08-25,Services,B005,South
L000301,C007837,Agri,3106650,2933811.18,10.5,12,2024-05-15,Agriculture,B007,East
L000302,C011041,Home,12528311,11354915.74,8.19,120,2022-02-06,Real Estate,B007,East
L000303,C015820,MSME,21529571,20584757.39,13.94,120,2022-05-30,Manufacturing,B002,West
L000304,C002841,Home,15525309,15094855.16,8.29,360,2021-12-17,Real Estate,B004,South
L000305,C001478,Personal,107194,97473.88,14.75,48,2022-11-19,Services,B009,North
L000306,C004771,Home,3634011,3600401.7,9.13,180,2024-03-28,Real Estate,B006,West
L000307,C017456,Agri,1261012,1145094.99,10.72,12,2026-04-20,Agriculture,B002,West
L000308,C005411,Personal,588195,555927.03,15.38,36,2023-08-26,Services,B005,South
L000309,C014505,Home,3240410,3237415.39,8.7,240,2024-02-04,Real Estate,B010,North
L000310,C005438,Auto,2027193,2019085.1,11.14,60,2022-06-13,Services,B007,East
L000311,C003737,Personal,855654,831688.2,15.19,12,2023-02-28,Services,B003,North
L000312,C005335,Home,3899486,3516069.24,8.14,180,2022-11-30,Real Estate,B010,North
L000313,C007044,Home,3439879,3302366.82,10.03,240,2024-04-18,Real Estate,B010,North
L000314,C009735,MSME,11206015,10733985.69,11.34,60,2025-05-08,IT/ITES,B010,North
L000315,C007086,Auto,1717711,1610856.15,11.27,84,2026-05-21,Services,B005,South
L000316,C015397,Education,2907950,2655494.44,11.21,60,2025-02-03,Services,B005,South
L000317,C011047,Auto,1498393,1397328.08,11.79,84,2025-04-16,Services,B003,North
L000318,C007417,Personal,452157,414755.34,13.83,12,2025-06-02,Services,B006,West
